Truck,Digger,Blast,Assigned Dump,Tonnes,A grade,B grade,C grade,D grade,E grade,F grade,G grade,H grade,I grade,Load At,Dump At
RD2819,EX1857,D-09920-117,9,232.6999969,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430463328,1430464777
RD1776,EX1857,D-09920-117,9,236.6000061,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430463508,1430464897
RD2037,EX1857,D-09920-117,9,229.1999969,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430463710,1430465093
RD2119,EX1857,D-09920-117,9,220.1999969,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430463968,1430465285
RD2620,EX1857,D-09920-117,9,231.5,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430464208,1430465623
RD2036,EX1857,D-09920-117,9,231,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430464466,1430465841
RD1816,EX1857,D-09920-117,9,225,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430464658,1430466081
RD2035,EX1857,D-09920-117,9,226.1000061,0.077999997,0.052936077,0.258795094,2.416328049,0.224308038,20.99879761,0.020072157,9.22612915,1023.743164,1430464882,1430466315
RD1775,EX1401,D-09920-117,19,225,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430465280,1430466599
RD2819,EX1401,D-09920-117,19,225.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430465706,1430466973
RD1776,EX1401,D-09920-117,19,227,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430465850,1430467085
RD2120,EX1401,D-09920-117,19,231.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430465982,1430467223
RD2037,EX1401,D-09920-117,19,215.6000061,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430466128,1430467321
RD2119,EX1401,D-09920-117,19,226.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430466258,1430467465
RD2622,EX1401,D-09920-117,19,243.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430466389,1430467631
RD2132,EX1857,D-09920-117,2,234.5,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430466410,1430467817
RD2816,EX1401,D-09920-117,19,237,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430466580,1430467852
RD1818,EX1857,D-09920-117,2,238.6000061,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430466610,1430467889
RD2036,EX1401,D-09920-117,19,241.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430466718,1430468024
RD2620,EX1857,D-09920-117,2,237.8000031,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430466842,1430468261
RD2815,EX1401,D-09920-117,19,244.6000061,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430466940,1430468297
RD1816,EX1857,D-09920-117,2,227.3999939,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430467042,1430468473
RD2035,EX1401,D-09920-117,19,227.1000061,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430467116,1430468383
RD2621,EX1857,D-09920-117,2,227.6999969,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430467254,1430468658
RD1817,EX1401,D-09920-117,19,239,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430467328,1430468705
RD2623,EX1401,D-09920-117,19,219.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430467460,1430468793
RD2618,EX1857,D-09920-117,2,232.1000061,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430467554,1430468918
RD2817,EX1401,D-09920-117,19,247.6999969,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430467604,1430468891
RD1775,EX1857,D-09920-117,2,229.1999969,0.115076613,0.124568546,0.379419351,3.140445137,0.177678227,15.61875305,0.149761289,11.49454422,827.75,1430467744,1430469259
RD2130,EX1401,D-09920-117,19,241.6000061,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430467760,1430469017
RD2819,EX1401,D-09920-117,19,223.8000031,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430467916,1430469295
RD2120,EX1401,D-09920-117,19,228.1999969,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430468052,1430469375
RD2818,EX1401,D-09920-117,19,232.1000061,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430468209,1430469433
RD2119,EX1401,D-09920-117,19,218.3999939,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430468362,1430469545
RD1727,EX1401,D-09920-117,19,232.3000031,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430468494,1430469688
RD2037,EX1857,D-09920-117,7,228.5,0.102007091,0.068526828,0.355028391,3.131184006,0.062686032,1.26476984,0.119867852,3.856494904,218.0842529,1430468558,1430470562
RD2132,EX1401,D-09920-117,19,213.1000061,0.030000001,0.232723856,0.401460123,4.443589783,0.064214331,1.531847572,0.138507793,6.935754395,660.3836914,1430468630,1430469835
RD2619,EX1857,D-09920-117,7,238.6999969,0.102007091,0.068526828,0.355028391,3.131184006,0.062686032,1.26476984,0.119867852,3.856494904,218.0842529,1430468782,1430470254
